iter	Passed	Remaining
0	1	171
1	3	167
2	5	162
3	6	151
4	8	152
5	9	150
6	11	148
7	12	145
8	14	150
9	16	148
10	18	146
11	19	143
12	21	140
13	22	138
14	24	136
15	25	133
16	27	132
17	28	129
18	29	127
19	32	128
20	34	128
21	35	126
22	37	125
23	39	124
24	40	122
25	42	120
26	43	118
27	45	115
28	46	113
29	47	111
30	49	109
31	50	107
32	52	106
33	54	105
34	55	103
35	57	101
36	59	100
37	60	98
38	62	97
39	63	95
40	65	93
41	65	90
42	67	89
43	69	88
44	71	87
45	73	86
46	75	85
47	77	84
48	79	82
49	80	80
50	82	79
51	84	77
52	85	76
53	87	74
54	88	72
55	90	71
56	93	70
57	94	68
58	96	66
59	98	65
60	100	64
61	101	62
62	103	60
63	105	59
64	107	57
65	109	56
66	111	54
67	113	53
68	115	51
69	116	50
70	118	48
71	120	47
72	122	45
73	124	43
74	125	41
75	127	40
76	129	38
77	131	36
78	133	35
79	135	33
80	136	32
81	138	30
82	140	28
83	141	26
84	143	25
85	145	23
86	146	21
87	148	20
88	150	18
89	151	16
90	153	15
91	154	13
92	156	11
93	158	10
94	159	8
95	161	6
96	162	5
97	164	3
98	165	1
99	167	0
